Symbol,Description,Price,Price - Currency,Price Change % 1 day,Price Change % 1 week,Price Change % 1 month
GDOT,Green Dot Corporation,12.3,USD,0.40816326530612800,-1.9138755980861100,-3.98126463700234
AVO,"Mission Produce, Inc.",12.29,USD,-3.2283464566929100,0.6552006552006410,5.948275862068960
AGD,abrdn Global Dynamic Dividend Fund,12.25,USD,-1.0500807754442700,0.40983606557377600,5.0600343053173200
HOFT,Hooker Furnishings Corporation,12.24,USD,2.0850708924103400,3.64098221845893,8.414526129317990
FMY,First Trust Mortgage Income Fund,12.24,USD,0.217793570995793,-0.1631321370309920,0.7407407407407400
ESHA,ESH Acquisition Corp.,12.23,USD,-0.7305194805194790,-3.700787401574790,-36.2356621480709
DRIO,DarioHealth Corp.,12.22,USD,3.2094594594594700,0.493421052631583,7.381370826010540
OMER,Omeros Corporation,12.21,USD,-6.6513761467889800,-2.2417934347477900,-28.908296943231400
QUBT,Quantum Computing Inc.,12.19,USD,-2.55795363709033,4.0102389078498200,18.81091617933720
MIY,BlackRock MuniYield Michigan Quality Fund Inc,12.19,USD,0.3292181069958780,2.5231286795626500,3.8330494037478600
OAKU,Oak Woods Acquisition Corporation,12.175,USD,-0.2049180327868740,-0.2049180327868740,0.8699254349627210
VIV,Telefonica Brasil SA Sponsored ADR,12.16,USD,-0.24610336341262800,-2.1721641190667700,2.5295109612141700
MRAM,"Everspin Technologies, Inc.",12.13,USD,6.403508771929830,0.9151414309484290,30.71120689655170
ARVN,"Arvinas, Inc.",12.13,USD,-0.5737704918032670,0.49710024855012800,2.2765598650927600
MUJ,"BlackRock MuniHoldings New Jersey Quality Fund, Inc.Shs of Benef Interest",12.125,USD,-0.2057613168724310,0.20661157024793700,1.8907563025210100
KYIV,Kyivstar Group Ltd.,12.12,USD,0.33112582781456200,-2.8846153846153900,-6.6255778120185000
PEB,Pebblebrook Hotel Trust,12.12,USD,0.7481296758104730,-1.6233766233766300,7.06713780918727
RQI,Cohen & Steers Quality Income Realty Fund Inc Quality Income Realty Fund,12.11,USD,0.5813953488372120,2.976190476190470,6.042031523642730
SAN,Banco Santander S.A. Sponsored ADR,12.11,USD,-0.9001636661211230,1.9360269360269200,3.2395566922421100
CRNC,Cerence Inc.,12.1,USD,-1.8653690186536900,-2.0242914979757100,13.189897100093500
NAD,Nuveen Quality Municipal Income Fund of Benef.Interest,12.1,USD,-0.493421052631583,-0.6568144499178990,0.6655574043261240
FRA,Blackrock Floating Rate Income Strategies Fund Inc,12.08,USD,-0.7395234182415760,0.918964076858809,2.54668930390493
AHT/PH,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,12.08,USD,2.113271344040580,-14.869626497533500,-13.405017921146900
FEDU,Four Seasons Education (Cayman) Inc Sponsored ADR,12.07,USD,2.5898192141296900,3.213558858237420,1.0041841004184200
PAMT,PAMT CORP,12.07,USD,-2.346278317152100,-1.4693877551020400,-0.08278145695364060
HUN,Huntsman Corporation,12.05,USD,2.8156996587030700,2.8156996587030700,20.500000000000000
NQP,Nuveen Pennsylvania Quality Municipal Income Fund,12.05,USD,-0.41322314049585900,0.41666666666667300,1.3456686291000900
CGO,Calamos Global Total Return Fund,12.05,USD,0.41666666666667300,1.6877637130801800,5.794556628621600
CARS,Cars.com Inc.,12.03,USD,0.08319467554076360,-4.295942720763730,-1.3934426229508200
AVTR,"Avantor, Inc.",12.02,USD,-2.9079159935379700,-3.1426269137792100,4.886561954624770
VLY,Valley National Bancorp,12.02,USD,2.4722932651321300,0.16666666666666300,2.910958904109590
NAZ,Nuveen Arizona Quality Municipal Income Fund,12.01,USD,0.08333333333333160,-0.41459369817579400,1.0942760942760900
GIFI,"Gulf Island Fabrication, Inc.",12,USD,0,0.41841004184101000,0.25062656641603500
BACQU,Inflection Point Acquisition Corp. IV Units Cons of 1 Shs -A- + 3/4 Red Wt,12,USD,3.89610389610389,1.6949152542372800,1.6949152542372800
LNSR,"LENSAR, Inc.",11.99,USD,1.010951979780970,3.6300777873811600,3.0954428202923400
KVAC,Keen Vision Acquisition Corporation,11.99,USD,1.6101694915254200,1.8691588785046800,2.0425531914893600
RBKB,"Rhinebeck Bancorp, Inc.",11.99,USD,2.0425531914893600,0.7563025210084020,-0.24958402662229100
CSPI,CSP Inc.,11.98,USD,2.0442930153322000,2.7444253859348200,-4.160000000000000
CEPT,"Cantor Equity Partners II, Inc.",11.97,USD,2.923473774720550,7.258064516129040,6.305506216696280
AHT/PG,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,11.97,USD,1.354784081287050,-15.467295659665800,-18.293515358361800
NFBK,"Northfield Bancorp, Inc.",11.96,USD,1.8739352640545200,3.9096437880104300,4.636920384951890
BOE,BlackRock Enhanced Global Dividend Trust of Benef Interest,11.96,USD,-0.33333333333332600,1.0135135135135200,2.134927412467980
GF,New Germany Fund Inc,11.94,USD,0.1677852348993250,-0.2506265664160500,4.5534150612959700
MHD,BlackRock MuniHoldings Fund Inc,11.94,USD,-0.2506265664160500,0.5897219882055630,1.7035775127768300
NEXA,Nexa Resources S.A.,11.94,USD,1.0152284263959300,18.100890207715100,34.91525423728810
DSP,Viant Technology Inc.,11.94,USD,2.842377260981910,4.73684210526315,-0.8305647840531530
OOMA,"Ooma, Inc.",11.93,USD,-0.5833333333333360,3.200692041522480,1.7050298380221600
BHVN,Biohaven Ltd.,11.92,USD,1.8803418803418900,7.290729072907300,5.580159433126670
NOMD,Nomad Foods Limited,11.91,USD,0.5063291139240550,-1.0797342192690900,-4.796163069544360
ACHC,"Acadia Healthcare Company, Inc.",11.91,USD,1.5345268542199500,-11.973392461197300,-16.0676532769556
BGB,Blackstone Strategic Credit 2027 Term Fund Shs of Benef Interest,11.91,USD,-0.3347280334727960,-0.08389261744966260,1.1035653650254700
NAC,Nuveen California Quality Municipal Income Fund,11.91,USD,-0.7499999999999990,-0.8326394671107380,0.8467400508044000
RIV,"RiverNorth Opportunities Fund, Inc.",11.9,USD,-0.8746355685131230,-0.2514668901927860,1.3628620102214700
WTTR,"Select Water Solutions, Inc.",11.9,USD,2.1459227467811200,6.822262118491920,13.117870722433500
MACIU,Melar Acquisition Corp. I Units Cons of 1 Shs -A- + 1/2 Wt,11.89,USD,4.298245614035090,8.584474885844760,10.19462465245600
FVNNU,Future Vision II Acquisition Corp. Units Cons of 1 Shs + 1/10 Rt,11.89,USD,5.221238938053100,5.221238938053100,12.169811320754700
NTLA,"Intellia Therapeutics, Inc.",11.887,USD,-1.1064891846921700,14.518304431599200,32.224694104560600
SEMR,"SEMrush Holdings, Inc.",11.88,USD,0,-0.08410428931875350,-0.08410428931875350
ERH,Allspring Utilities and High Income Fund,11.88,USD,0.42265426880812100,0.7206443408223900,0.5076142131979740
PBR.A,Petroleo Brasileiro SA Sponsored ADR Pfd,11.88,USD,0.16863406408095600,4.76190476190477,5.412599822537720
BHFAM,"Brighthouse Financial, Inc. - Depositary shares each representing a 1/1,000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock, Series D",11.88,USD,1.712328767123300,2.1496130696474600,7.608695652173930
ALCY,Alchemy Investments Acquisition Corp 1,11.87,USD,-0.2101723413198850,-3.4174125305126100,-16.467276565798700
NMS,Nuveen Minnesota Quality Municipal Income Fund of Benef Interest,11.8601,USD,-0.41897565071369400,0.6799660441426130,1.1953924914675600
BAYA,Bayview Acquisition Corp,11.86,USD,-0.08424599831507820,0.5084745762711760,-0.15994612341106300
ASC,Ardmore Shipping Corporation,11.85,USD,-0.5037783375314900,1.455479452054790,11.898016997167100
INKT,"MiNK Therapeutics, Inc.",11.83,USD,0.938566552901019,-4.596774193548390,6.0986547085201800
PSKY,Paramount Skydance Corporation,11.83,USD,-2.06953642384106,-1.907131011608630,-11.716417910447800
MED,MEDIFAST INC,11.83,USD,1.2842465753424700,3.5901926444833600,10.767790262172300
PD,"PagerDuty, Inc.",11.82,USD,-1.0050251256281300,-4.213938411669360,-9.839816933638440
PFD,Flaherty & Crumrine Preferred and Income Fund Inc,11.82,USD,-1.663893510815300,-0.35911183045875400,-0.4212299915753910
JHS,John Hancock Income Securities Trust,11.82,USD,0.25445292620866100,1.0256410256410300,0.9393680614859050
BCX,BlackRock Resources & Commodities Strategy Trust,11.81,USD,-0.16906170752324200,3.6874451273046500,7.559198542805100
AKA,a.k.a. Brands Holding Corp.,11.8,USD,6.762122861670040,3.020778767242890,10.280373831775700
CTNM,"Contineum Therapeutics, Inc.",11.8,USD,0.3401360544217770,26.745435016111700,3.2370953630796200
AEXA,American Exceptionalism Acquisition Corp. A,11.78,USD,1.6393442622950800,4.063604240282680,3.4240561896400200
BKHA,Black Hawk Acquisition Corporation,11.77,USD,4.529307282415630,4.529307282415630,4.622222222222220
NEA,Nuveen AMT-Free Quality Municipal Income Fund of Benef Interest,11.76,USD,-0.42337002540220800,0.2557544757033190,1.1177987962166700
CAPNU,Cayson Acquisition Corp Units Cons of 1 Shs + 1/10 Rt,11.7578,USD,13.055769230769200,13.055769230769200,13.055769230769200
AHT/PI,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,11.75,USD,2.9798422436459200,-18.060795403036300,-14.358600583090400
LSPD,Lightspeed Commerce Inc. Subordinate Voting Shares,11.74,USD,0.8591065292096190,-3.6915504511894900,-2.8145695364238400
MFIC,MidCap Financial Investment Corporation,11.74,USD,2.175805047867710,2.3539668700959000,2.6223776223776300
AHT/PF,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,11.73,USD,-0.677392040643523,-17.75347076146400,-14.128843338213800
NXE,Nexgen Energy Ltd.,11.72,USD,1.6478751084128500,9.124767225325890,27.391304347826100
HOPE,"Hope Bancorp, Inc.",11.72,USD,2.53718285214349,1.2964563526361300,6.934306569343060
LOMA,Loma Negra Compania Industrial Argentina SA Sponsored ADR,11.72,USD,-0.8460236886632800,-5.939004815409310,-9.498069498069490
BNTC,Benitec Biopharma Inc.,11.71,USD,-3.4624896949711500,-1.0979729729729600,-13.066072754268700
TDF,Templeton Dragon Fund Inc,11.7,USD,-0.0853970964987324,0.6018916595012770,3.9076376554174000
BGX,Blackstone Long-Short Credit Income Fund Shs of Benef Interest,11.7,USD,-0.2557544757033350,0.2570694087403540,0.34305317324184500
QETA,Quetta Acquisition Corporation,11.69,USD,1.652173913043470,3.26946351116175,2.9955947136563900
PCYO,Pure Cycle Corporation,11.69,USD,3.359858532272320,5.791855203619900,6.36942675159235
TNGX,"Tango Therapeutics, Inc.",11.69,USD,-5.649717514124300,-0.5106382978723450,31.94130925507900
MQY,BlackRock MuniYield Quality Fund Inc,11.68,USD,-0.1709401709401670,0.6896551724137940,3.3628318584070700
AGNC,AGNC Investment Corp.,11.68,USD,0.9507346585998220,2.3663453111305800,8.955223880597010
EC,Ecopetrol SA Sponsored ADR,11.68,USD,0.9507346585998220,7.451701931922730,16.566866267465100
CHY,Calamos Convertible And High Income Fund,11.68,USD,-0.08554319931565260,-0.680272108843538,3.2714412024756800
GCMG,GCM Grosvenor Inc.,11.68,USD,0.6029285099052570,0.4299226139294840,3.1802120141342700
INSG,Inseego Corp.,11.68,USD,9.363295880149810,11.984659635666300,13.729308666017500
POLEU,Andretti Acquisition Corp. II Units Cons of 1 Shs -A- + 1/2 Red Wt,11.67,USD,9.990574929311980,9.990574929311980,9.990574929311980
RAND,Rand Capital Corporation,11.66,USD,-2.5083612040133800,1.8340611353711900,2.686041391457510
BKHAU,Black Hawk Acquisition Corporation Units Cons of 1 Shs A + 1/5 Rt,11.65,USD,-0.34217279726261000,-1.6877637130801600,-2.591973244147160
KIO,KKR Income Opportunities Fund,11.65,USD,-0.6820119352088670,-0.5972696245733810,0.5176876617773990
TASK,"TaskUs, Inc.",11.65,USD,0.4310344827586270,-1.8534119629317500,-1.1874469889737000
TIC,"TIC Solutions, Inc.",11.64,USD,4.114490161001800,1.659388646288220,15.133531157270000
GDO,Western Asset Global Corporate Opportunity Fund Inc.,11.64,USD,0.0859845227858967,0.17211703958693100,-1.42276422764227
ACEL,"Accel Entertainment, Inc.",11.64,USD,1.7482517482517600,1.0416666666666800,2.015775635407540
BGT,BlackRock Floating Rate Income Trust of Benef Interest,11.64,USD,0.17211703958693100,0.8665511265164770,2.7360988526037100
TALO,"Talos Energy, Inc.",11.63,USD,-2.8404344193817900,7.28782287822879,5.5353901996370300
SHEN,Shenandoah Telecommunications Co,11.63,USD,0.4317789291882620,0.6055363321799330,0.6055363321799330
FTCI,"FTC Solar, Inc.",11.625,USD,-1.7328825021132700,-2.310924369747900,6.5536205316223600
SSYS,"Stratasys, Ltd.",11.62,USD,14.708785784797600,12.59689922480620,33.87096774193550
TTI,"Tetra Technologies, Inc.",11.62,USD,3.842716711349420,17.73049645390070,24.0128068303095
VTN,Invesco Trust For Investment Grade New York Municipals,11.61,USD,-0.4288164665523220,-0.08605851979345770,0.8688097306689800
GPRE,"Green Plains, Inc.",11.61,USD,3.8461538461538400,9.839167455061490,18.469387755102000
SNSE,"Sensei Biotherapeutics, Inc.",11.61,USD,-3.0884808013355700,-0.043047783039180200,8.809746954076850
GOOD,Gladstone Commercial Corporation,11.59,USD,0.9581881533101000,3.482142857142860,8.622305529522030
ADSE,ADS-TEC ENERGY PLC,11.59,USD,-2.7684563758389300,-2.358887952822240,-8.596214511041010
NMT,Nuveen Massachusetts Quality Municipal Income Fund of Benef Interest,11.59,USD,0.5203816131830050,0.5203816131830050,2.29479258605472
SOC,Sable Offshore Corp.,11.58,USD,2.7506654835847400,17.922606924643600,28.381374722838100
MAX,"MediaAlpha, Inc.",11.58,USD,1.4899211218229600,-0.1724137931034450,-10.579150579150600
EXK,Endeavour Silver Corporation,11.57,USD,3.211418376449590,8.945386064030140,23.085106382978700
EFT,Eaton Vance Floating-Rate Income Trust,11.55,USD,-0.08650519031141680,0.9615384615384720,2.3029229406554600
ET/PI,Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred,11.55,USD,0.26041666666667700,1.3157894736842100,0.7853403141361240
CMBT,CMB.TECH NV,11.52,USD,-1.030927835051560,1.0526315789473600,19.378238341968900
ORIC,"Oric Pharmaceuticals, Inc.",11.52,USD,2.4000000000000000,25.901639344262300,40.831295843520800
ASAN,"Asana, Inc.",11.51,USD,0.7880910683012250,-11.18827160493830,-16.046681254558700
BBOT,"BridgeBio Oncology Therapeutics, Inc.",11.5,USD,-4.485049833887040,-12.812736921910500,-8.146964856230030
BCARU,D. Boral Arc Acquisition I Corp. Units Cons of 1 Shs A + 1/2 Red Wt,11.5,USD,1.7699115044247700,11.867704280155600,12.745098039215700
TAL,TAL Education Group Sponsored ADR Class A,11.49,USD,-0.9482758620689610,3.4203420342034300,5.3162236480293300
VNET,"VNET Group, Inc. Sponsored ADR",11.49,USD,-3.768844221105520,10.268714011516300,35.81560283687940
PK,"Park Hotels & Resorts, Inc.",11.49,USD,2.6809651474530900,0.08710801393728040,9.847036328871890
RMT,Royce Micro-Cap Trust Inc,11.49,USD,0.9666080843585190,3.0493273542600900,10.162991371045100
RDIB,Reading International Inc,11.48,USD,-0.08703220191470660,-2.297872340425530,-1.0344827586206800
CODA,"Coda Octopus Group, Inc.",11.47,USD,-1.502790897380840,11.957052220595400,23.333333333333300
SCLX,Scilex Holding Company,11.46,USD,-4.499999999999990,-10.468750000000000,-6.065573770491790
SGA,"Saga Communications, Inc.",11.44,USD,0,3.4358047016274800,-0.08559101469021510
YDES,YD Bio Limited,11.42,USD,-3.2203389830508500,-7.455429497568880,-6.316652994257590
HTCO,High-Trend International Group,11.42,USD,4.225609199598420,11.960784313725500,35.30805687203790
DTF,DTF Tax-Free Income 2028 Term Fund Inc.,11.42,USD,-0.1748251748251710,0.1754385964912240,0
BKN,Blackrock Investment Quality Municipal Trust Inc,11.41,USD,0.08771929824561220,0.6172839506172870,1.8750000000000100
HYAC,Haymaker Acquisition Corp. 4,11.41,USD,0.13339417980131400,0,0.2636203866432280
NAN,Nuveen New York Quality Municipal Income Fund of Benef Interest,11.4,USD,-0.4366812227074140,0.2638522427440730,1.2433392539964500
MPA,BlackRock MuniYield Pennsylvania Quality Fund,11.4,USD,-0.08764241893076060,0.79575596816976,2.8880866425992800
IMSR,Terrestrial Energy Inc.,11.38,USD,8.380952380952390,21.45144076840980,86.2520458265139
SNBR,Sleep Number Corporation,11.37,USD,8.388941849380350,43.924050632911400,34.397163120567400
OTLY,Oatly Group AB Sponsored ADR,11.37,USD,0.9769094138543470,-1.5584415584415700,6.3610851262862500
DSL,DoubleLine Income Solutions Fund,11.36,USD,0.4420866489831910,0.5309734513274220,0.7985803016858900
LOCO,"El Pollo Loco Holdings, Inc.",11.35,USD,2.622061482820970,1.7025089605734700,8.508604206500940
RITM,Rithm Capital Corp.,11.35,USD,1.3392857142857200,-1.9014693171996600,4.1284403669724700
FRSH,Freshworks Inc.,11.34,USD,-0.9606986899563270,-7.352941176470590,-7.428571428571430
NUS,"Nu Skin Enterprises, Inc.",11.34,USD,2.9038112522686100,9.777347531461760,17.87941787941790
SPKL,Spark I Acquisition Corp.,11.335,USD,-0.11983857039633500,-0.11983857039633500,-0.8311461067366480
CHCI,"Comstock Holding Companies, Inc.",11.33,USD,-0.2640845070422480,-6.440957886044590,-2.49569707401032
NPV,Nuveen Virginia Quality Municipal Income Fund of Benef Interest,11.285,USD,0.3111111111111120,0.579322638146163,1.9421860885275500
OCUL,"Ocular Therapeutix, Inc.",11.28,USD,1.8970189701896900,0.17761989342806000,-7.084019769357510
JOF,Japan Smaller Capitalization Fund Inc Smaller Capitalization Fund,11.28,USD,0,1.0752688172042900,1.8050541516245400
AGCC,Agencia Comercial Spirits Ltd,11.273,USD,-4.62774957698816,-13.284615384615400,15.502049180327900
WEA,Western Asset Premier Bond Fund Premier Bond Fund,11.27,USD,0.5352363960749220,0.7149240393208230,2.1758839528558500
CYRX,"CryoPort, Inc.",11.27,USD,3.4894398530762100,6.72348484848484,17.395833333333300
VCV,Invesco California Value Municipal Income Trust,11.26,USD,-0.7054673721340390,0.17793594306049400,1.1680143755615400
LPCN,Lipocine Inc.,11.26,USD,2.363636363636360,40.574282147315900,40.224159402241600
VACHU,Voyager Acquisition Corp. Units Cons of 1 Shs A + 1/2 Wts,11.25,USD,5.337078651685400,5.238540692235740,2.3657870791628700
BKD,Brookdale Senior Living Inc.,11.25,USD,0.9874326750448780,2.1798365122615800,4.263206672845240
PLMKU,Plum Acquisition Corp. IV Units Cons of 1 Shs -A- + 1/2 Red Wt,11.25,USD,-8.75912408759124,-8.75912408759124,-8.75912408759124
NOM,Nuveen Missouri Quality Municipal Income Fund of Benef Interest,11.25,USD,0.896860986547082,-0.8810572687224640,-5.620805369127520
ACIC,American Coastal Insurance Corporation,11.25,USD,-0.35429583702390700,-0.5305039787798450,-10.926365795724500
CHAC,Crane Harbor Acquisition Corp.,11.23,USD,0.17841213202497400,0.8984725965858010,4.2711234911792100
EFR,Eaton Vance Senior Floating Rate Fund,11.23,USD,-0.7073386383731220,0,0.8078994614003580
ORN,"Orion Group Holdings, Inc.",11.22,USD,4.566635601118360,10.541871921182300,12.877263581488900
DOGZ,Dogness (International) Corporation,11.22,USD,-0.707964601769912,2.0000000000000100,5.849056603773600
USGO,U.S. GoldMining Inc.,11.22,USD,-1.1453744493392000,20.645161290322600,27.2108843537415
FMN,Federated Hermes Premier Municipal Income Fund,11.215,USD,-0.019612737581573000,0.40286481647269400,0.945094509450949
WFCF,"Where Food Comes From, Inc.",11.215,USD,1.4932126696832500,-1.8380743982494600,-2.393385552654490
ETHMU,Dynamix Corporation Units Cons of 1 Shs -A- + 1/2 Red Wt,11.21,USD,7.272727272727290,2.9384756657484000,2.9384756657484000
ANSC,Agriculture & Natural Solutions Acquisition Corporation,11.21,USD,0,0.35810205908684800,0.1787310098302180
RFI,Cohen And Steers Total Return Realty Fund,11.21,USD,0.26833631484795300,1.1732851985559600,1.4479638009049800
RTACU,Renatus Tactical Acquisition Corp I Units Cons of 1 Shs A + 1/2 Red Wt,11.1999,USD,-0.09098937565232330,-2.184279475982530,1.082129963898910
DMO,Western Asset Mortgage Opportunity Fund Inc,11.19,USD,0.17905102954341600,0.3587443946188260,1.1754068716093900
VLT,Invesco High Income Trust II,11.18,USD,-1.1494252873563300,-0.736926218591851,0.08952551477170800
MNTN,"MNTN, Inc.",11.18,USD,-4.444444444444440,-7.526881720430110,-6.365159128978220
NOAH,Noah Holdings Ltd. Sponsored ADR Class A,11.18,USD,-0.26761819803747700,3.041474654377880,11.354581673306800
DTSQ,DT Cloud Star Acquisition Corporation,11.18,USD,3.5664659564613200,2.568807339449540,3.9864575776177900
MYI,BlackRock MuniYield Quality Fund III Inc,11.16,USD,0.2695417789757360,1.8248175182481700,2.667893284268640
TSSI,"TSS, Inc.",11.16,USD,5.581835383159890,30.83235638921460,57.85007072135790
RAIL,"Freightcar America, Inc.",11.14,USD,-1.5901060070671400,1.0889292196007400,0.6323396567299030
